transform_id	gender	npc_id

P.S. 0 - мужчина  1 - женщина =)

13077	Onyx Beast		A9E89C
13078	Doom Wraith		A9E89C
13079	Grail Apostle		A9E89C
13080	Grail Apostle		A9E89C
13081	Unicorn		A9E89C
13082	Lilim Knight		A9E89C
13083	Golem Guardian		A9E89C
13084	Inferno Drake		A9E89C
13085	Dragon Bomber		A9E89C
13086	Zariche		A9E89C              -   Трансформация в темного рыцаря с заричем. Весь комплект броня + зарич в руке =)
13087	Akamanah		A9E89C			-	Трансформация в темного рыцаря с акаманахами. Вооружен до зубов, опасен =)
13088	Final Form		A9E89C
13089	Final Form		A9E89C
13090	Native		A9E89C
13091	Yeti		A9E89C
13092	Buffalo		A9E89C
13093	Pig		A9E89C
13094	Zombie		A9E89C
13095	Pixy		A9E89C
13096	Rabbit		A9E89C

1	0	13077
1	1	13077
2	0	13078
2	1	13078
201	0	13079
201	1	13080
202	0	13079
202	1	13080
203	0	13079
203	1	13080
204	0	13081
204	1	13081
205	0	13081
205	1	13081
206	0	13081
206	1	13081
207	0	13082
207	1	13082
208	0	13082
208	1	13082
209	0	13082
209	1	13082
210	0	13083
210	1	13083
211	0	13083
211	1	13083
212	0	13083
212	1	13083
213	0	13084
213	1	13084
214	0	13084
214	1	13084
215	0	13084
215	1	13084
216	0	13085
216	1	13085
217	0	13085
217	1	13085
218	0	13085
218	1	13085
251	0	13088
251	1	13089
301	0	13086
301	1	13086
302	0	13087
302	1	13087
303	0	13094
303	1	13094
101	0	13090
101	1	13090
102	0	13091
102	1	13091
103	0	13092
103	1	13092
104	0	13093
104	1	13093
304	0	13095
304	1	13095
105	0	13096
105	1	13096

In the Future KamaeL Plus next addon:

3	0	13106
3	1	13107
4	0	13108
4	1	13108
5	0	13109
5	1	13109
6	0	13110
6	1	13110
7	0	13111
7	1	13111
252	0	13112
252	1	13112
253	0	13113
253	1	13113
254	0	13114
254	1	13114
255	0	13115
255	1	13115
256	0	13116
256	1	13116
257	0	13117
257	1	13117
258	0	13118
258	1	13118
305	0	13099
305	1	13009
306	0	13100
306	1	13100
307	0	13101
307	1	13101
308	0	13102
308	1	13102
309	0	13103
309	1	13103
310	0	13104
310	1	13104
311	0	13105
311	1	13105
259	0	13119
259	1	13119

In the Future Gracia PTS next addon:

312 0
312 1
313 0
313 1
314 0
314 1
315 0
315 1
